Model,Sıra,Index,Skor,Metin
TF-IDF (Lemmatized),1,52,0.3089,Alexandre Lacazette'in 90+4'te attığı gol taraftarlara büyük sevinç yaşattı.
TF-IDF (Lemmatized),2,10,0.2857,İrfan Can Kahveci'nin golü unutulmazdı!
TF-IDF (Lemmatized),3,111,0.2463,"Marsilya, Nice'i 2-1 mağlup etti."
TF-IDF (Lemmatized),4,34,0.2152,Tribünlerde büyük coşku yaşandı!
TF-IDF (Lemmatized),5,1,0.1641,"Salah ve Griezmann'ın harika oyunuyla Nice, Lens'i 3-2 mağlup etti."
TF-IDF (Stemmed),1,10,0.4240,İrfan Can Kahveci'nin golü unutulmazdı!
TF-IDF (Stemmed),2,22,0.1915,Vincent Aboubakar'ın 89. dakikadaki golü taraftarları çılgına çevirdi!
TF-IDF (Stemmed),3,40,0.1909,Mauro Icardi'nin hat-trick yapması taraftarları sevince boğdu.
TF-IDF (Stemmed),4,72,0.1861,Elye Wahi'nin 2 golü Lens taraftarlarını sevince boğdu.
TF-IDF (Stemmed),5,52,0.1835,Alexandre Lacazette'in 90+4'te attığı gol taraftarlara büyük sevinç yaşattı.
Lemmatized CBOW Win2 Dim100,1,0,0.5796,Nice taraftarları unutulmaz bir gece yaşadı!
Lemmatized CBOW Win2 Dim100,2,47,0.3562,"Leverkusen, Union Berlin'i 5-0 gibi farklı bir skorla yendi."
Lemmatized CBOW Win2 Dim100,3,7,0.3558,"Bayern, Dortmund'u 5-0 yenerek şampiyonluğa bir adım daha yaklaştı."
Lemmatized CBOW Win2 Dim100,4,21,0.3266,"Beşiktaş, Trabzon'da zorlu bir mücadele sonucu 2-1 kazandı."
Lemmatized CBOW Win2 Dim100,5,90,0.2494,"Rafael Leao'nun süratinden yararlanan Rossoneri, Giroud'nun kafa golüyle galibiyete ulaştı."
Lemmatized CBOW Win2 Dim300,1,0,0.6864,Nice taraftarları unutulmaz bir gece yaşadı!
Lemmatized CBOW Win2 Dim300,2,21,0.2549,"Beşiktaş, Trabzon'da zorlu bir mücadele sonucu 2-1 kazandı."
Lemmatized CBOW Win2 Dim300,3,7,0.2275,"Bayern, Dortmund'u 5-0 yenerek şampiyonluğa bir adım daha yaklaştı."
