original_sentence,processed_tokens
Nice taraftarları unutulmaz bir gece yaşadı!,niç taraftar unutulmaz bir geç yaşadı
"Salah ve Griezmann'ın harika oyunuyla Nice, Lens'i 3-2 mağlup etti.",salah harik oyun niç lens mağlup et
Maçın yıldızı Ødegaard oldu.,maç yıldız ødegaardı ol
"Arsenal, Chelsea'yi 2-1 yendi.",arsenal ye
Saka'nın muhteşem golü tribünleri ayakta alkışlattı!,muhteşe golü tribün ayak alkışlat
"El Clásico'da Barcelona, Real Madrid'i 4-0 ezdi.",barcelo real madridi ez
Lewandowski hat-trick yaptı!,lewandowski yap
"Bayern, Dortmund'u 5-0 yenerek şampiyonluğa bir adım daha yaklaştı.",bayern dortmundu yenerek şampiyonluk bir ad yaklaş
Musiala'nın performansı muazzamdı.,performansı muazza
"Fenerbahçe, derbide Galatasaray'ı 3-1 mağlup etti.",fenerbahçe derbi galatasaray mağlup et
İrfan Can Kahveci'nin golü unutulmazdı!,can golü unutulmaz
"Inter, derbide AC Milan'ı 1-0 yendi.",inter derbi mila ye
Lautaro Martinez'in golü kazandırdı.,lautaro golü kazandır
"Porto, Benfica'yı 2-1 yendi.",porto ye
Pepe'nin kırmızı kartı maçın dönüm noktası oldu.,kırmız kar maç dö noktas ol
"Ajax, PSV'yi 4-2 mağlup etti.",ajax mağlup et
Bergwijn'in 2 golüyle Ajax şampiyonluğa koşuyor.,golü ajax şampiyonluk koşuyor
"LA Galaxy, derbide LAFC'yi 3-2 yendi.",galaxy derbi ye
Chicharito'nun golü maçı kazandırdı.,golü maç kazandır
"PSG, Marseille'yi 4-0 ezdi.",psg ez
Mbappé'nin 2 golüyle PSG liderliğini sürdürdü.,golü psg liderlik sürdür
"Beşiktaş, Trabzon'da zorlu bir mücadele sonucu 2-1 kazandı.",beşiktaş zorlu bir mücadel sonuç kaza
Vincent Aboubakar'ın 89. dakikadaki golü taraftarları çılgına çevirdi!,vincent dakika golü taraftar çılgı çevir
"Atletico Madrid, Sevilla'yı 1-0 mağlup etti.",atletico madridi mağlup et
"Savunma hatasından yararlanan Griezmann, maçın tek golünü kaydetti.",savunma hata yararlana griezmann maç tek gol kaydet
"Leipzig, Wolfsburg'u 4-2 yendi.",leipzigi wolfsburgu ye
Dani Olmo'nun 2 golü ve 1 asistiyle takımına büyük katkı sağladı.,dani golü asisti takım büyük katkı sağladı
"Juventus, Roma'yı 3-0 yenerek şampiyonluk yarışına yeniden dahil oldu.",juventus yenerek şampiyonluk yarış yeni dahil ol
Vlahović'in performansı göz doldurdu.,performansı göz doldur
"Sporting, Porto'yu 1-0 mağlup ederek ligdeki liderlik koltuğunu sağlamlaştırdı.",sportingi mağlup ederek ligi liderlik koltuk sağlamlaştır
Pedro Gonçalves'in frikik golü maçı kazandırdı.,pedro frikik golü maç kazandır
"Feyenoord, AZ Alkmaar'ı 3-1 yendi.",feyenoordu alkmaar ye
Santiago Giménez'in 2 golüyle takımına 3 puanı getirdi.,santiago golü takım puan getir
"Messi'nin 2 golü ve 1 asistiyle Inter Miami, NYCFC'yi 4-2 mağlup etti.",golü asisti inter miam mağlup et
Tribünlerde büyük coşku yaşandı!,tribün büyük coşku yaşa
"Monaco, Lille'i 2-0 yenerek Avrupa kupalarına katılım yolunda önemli bir adım attı.",monaco lil yenerek avrup kupa katıl yol önemli bir ad at
Gol krallığı yarışındaki Wissam Ben Yedder yine fark yarattı.,gol krallık yarış wis ben yedder y fark yarat
"Celtic, ezeli rakibi Rangers'ı 2-1 mağlup ederek ligdeki üstünlüğünü sürdürdü.",celtiç ezel rakip rangers mağlup ederek ligi üstünlük sürdür
Kyogo Furuhashi'nin golü maçın kaderini değiştirdi.,kyogo golü maç kader değiştir
"Galatasaray, Kayserispor'u 5-0 gibi farklı bir skorla devirdi.",galatasaray kayserispor farklı bir skor devir
Mauro Icardi'nin hat-trick yapması taraftarları sevince boğdu.,mauro yapmas taraftar sev bok
"Anfield'da oynanan ezeli rekabette Liverpool, Manchester United'ı 4-0 mağlup etti.",oynana ezel rekabet liverpool manchester unitedi mağlup et
Salah'ın 2 golü ve Núñez'in muhteşem performansı göz doldurdu.,golü muhteşe performansı göz doldur
"Real Sociedad, Villarreal'i 3-1 yendi.",real sociedadı villarreal ye
Takefusa Kubo'nun teknik direktörüne cevap niteliğindeki golü maçın en konuşulan anı oldu.,takefus teknik direktör cevap nitelik golü maç konuşula an ol
"Adana Demirspor, Konyaspor'u 2-1 mağlup etti.",ada demirspor konyaspor mağlup et
Balotelli'nin serbest vuruştan attığı gol taraftarları ayakta alkışlattı.,serbest vuruş attık gol taraftar ayak alkışlat
"Leverkusen, Union Berlin'i 5-0 gibi farklı bir skorla yendi.",leverkuse union berl farklı bir skor ye
Wirtz ve Frimpong'un harika ikili oyunu Bundesliga'da konuşuluyor.,wirtz harik ikil oy konuşuluyor
"Napoli, Lazio'yu 2-1 mağlup etti.",napoli mağlup et
